created_at,entry_id,field1,latitude,longitude,elevation,status
2023-03-05T22:45:49+00:00,1,18.5,,,,
2023-03-05T22:46:05+00:00,2,18.5,,,,
2023-03-05T22:46:21+00:00,3,18.5,,,,
2023-03-05T22:46:37+00:00,4,18.5,,,,
2023-03-05T22:46:53+00:00,5,18.5,,,,
2023-03-05T22:47:09+00:00,6,18.5,,,,
2023-03-05T22:47:24+00:00,7,18.5,,,,
2023-03-05T22:47:40+00:00,8,18.5,,,,
2023-03-05T22:47:56+00:00,9,18.5,,,,
2023-03-05T22:48:12+00:00,10,18.5,,,,
2023-03-05T22:48:28+00:00,11,18.5,,,,
2023-03-05T22:48:44+00:00,12,18.5,,,,
2023-03-05T22:49:00+00:00,13,18.5,,,,
2023-03-05T22:49:16+00:00,14,18.5,,,,
2023-03-05T22:49:32+00:00,15,18.5625,,,,
2023-03-05T22:49:48+00:00,16,18.5,,,,
2023-03-05T22:50:04+00:00,17,18.5,,,,
2023-03-05T22:50:20+00:00,18,18.5,,,,
2023-03-05T22:50:35+00:00,19,18.5,,,,
2023-03-05T22:50:51+00:00,20,18.5,,,,
2023-03-05T22:51:07+00:00,21,18.5,,,,
2023-03-05T22:51:23+00:00,22,18.5625,,,,
2023-03-05T22:51:39+00:00,23,18.5,,,,
2023-03-05T22:51:55+00:00,24,18.5625,,,,
2023-03-05T22:52:11+00:00,25,18.5625,,,,
2023-03-05T22:52:27+00:00,26,18.5625,,,,
2023-03-05T22:52:43+00:00,27,18.5625,,,,
2023-03-05T22:52:59+00:00,28,18.5625,,,,
2023-03-05T22:53:15+00:00,29,18.5625,,,,
2023-03-05T22:53:31+00:00,30,18.5625,,,,
2023-03-05T22:53:47+00:00,31,18.5625,,,,
2023-03-05T22:54:02+00:00,32,18.5625,,,,
2023-03-05T22:54:18+00:00,33,18.5625,,,,
2023-03-05T22:54:34+00:00,34,18.5625,,,,
2023-03-05T22:54:50+00:00,35,18.5625,,,,
2023-03-05T22:55:06+00:00,36,18.5,,,,
2023-03-05T22:55:22+00:00,37,18.5625,,,,
2023-03-05T22:55:38+00:00,38,18.5,,,,
2023-03-05T22:55:54+00:00,39,18.5625,,,,
2023-03-05T22:56:10+00:00,40,18.5625,,,,
2023-03-05T22:56:26+00:00,41,18.5625,,,,
2023-03-05T22:56:42+00:00,42,18.5625,,,,
2023-03-05T23:19:09+00:00,43,18.75,,,,
2023-03-06T00:04:34+00:00,44,19.0625,,,,
2023-03-06T00:04:50+00:00,45,19.125,,,,
2023-03-06T00:05:06+00:00,46,19.125,,,,
2023-03-06T00:05:22+00:00,47,19.125,,,,
2023-03-06T00:05:37+00:00,48,19.0625,,,,
2023-03-06T00:05:53+00:00,49,19.125,,,,
2023-03-06T00:06:09+00:00,50,19.125,,,,
2023-03-06T00:06:25+00:00,51,19.125,,,,
2023-03-06T00:06:41+00:00,52,19.125,,,,
2023-03-06T00:06:57+00:00,53,19.125,,,,
2023-03-06T00:07:13+00:00,54,19.125,,,,
2023-03-06T00:07:29+00:00,55,19.125,,,,
2023-03-06T00:07:45+00:00,56,19.125,,,,
2023-03-06T00:08:01+00:00,57,19.125,,,,
2023-03-06T00:08:17+00:00,58,19.125,,,,
2023-03-06T00:08:33+00:00,59,19.125,,,,
2023-03-06T00:08:48+00:00,60,19.125,,,,
2023-03-06T00:09:04+00:00,61,19.125,,,,
2023-03-06T00:09:20+00:00,62,19.125,,,,
